,report,meta_info,href,category,sending_time
6870,Several Potholes,"Fixed 15:24, 5 Jan 2014, last updated 18:15, 2 Feb 2014",https://www.fixmystreet.com/report/417867,"Reported in the Potholes category anonymously at 15:24, Sun  5 January 2014",Sent to Glasgow City Council less than a minute later
6871,Large crater,"18:11, 5 Jan 2014, last updated 18:23, 5 Jan 2014",https://www.fixmystreet.com/report/417965,"Reported in the Potholes category anonymously at 18:11, Sun  5 January 2014",Sent to Glasgow City Council 4 minutes later
6872,Large Pothole,"20:10, 5 Jan 2014",https://www.fixmystreet.com/report/417213,"Reported in the Potholes category anonymously at 20:10, Sun  5 January 2014",Sent to Glasgow City Council 4 minutes later
6873,Pot holes,"20:10, 5 Jan 2014",https://www.fixmystreet.com/report/417210,"Reported in the Potholes category by Linda Sinclair at 20:10, Sun  5 January 2014",Sent to Glasgow City Council 4 minutes later
6874,Pot holes,"21:09, 5 Jan 2014",https://www.fixmystreet.com/report/418034,"Reported in the Potholes category anonymously at 21:09, Sun  5 January 2014",Sent to Glasgow City Council 1 minute later
6875,Potholes,"21:15, 5 Jan 2014",https://www.fixmystreet.com/report/418036,"Reported in the Potholes category anonymously at 21:15, Sun  5 January 2014",Sent to Glasgow City Council 4 minutes later
6876,Dangerous potholes,"22:50, 5 Jan 2014, last updated 09:06, 6 Jan 2014",https://www.fixmystreet.com/report/418064,"Reported in the Public toilets category by Liz Burns at 22:50, Sun  5 January 2014",Sent to Glasgow City Council 5 minutes later
6877,Blocked Drain,"09:13, 6 Jan 2014, last updated 11:33, 3 Feb 2014",https://www.fixmystreet.com/report/418145,"Reported in the Roads/highways category by Terry Robinson at 09:13, Mon  6 January 2014

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 3 minutes later
6878,Fly Tipping/Litter,"09:17, 6 Jan 2014, last updated 11:35, 3 Feb 2014",https://www.fixmystreet.com/report/418150,"Reported in the Flytipping category by Terry Robinson at 09:17, Mon  6 January 2014

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 3 minutes later
6879,Large Pothole,"11:16, 6 Jan 2014",https://www.fixmystreet.com/report/418202,"Reported in the Potholes category by dillon corriander at 11:16, Mon  6 January 2014",Sent to Glasgow City Council 4 minutes later
6880,Large Pothole,"11:16, 6 Jan 2014",https://www.fixmystreet.com/report/418242,"Reported in the Potholes category by dillon corriander at 11:16, Mon  6 January 2014",Sent to Glasgow City Council 4 minutes later
6881,Potholes and dangerously uneven road surface,"13:21, 6 Jan 2014, last updated 11:08, 12 May 2014",https://www.fixmystreet.com/report/418324,"Reported in the Potholes category anonymously at 13:21, Mon  6 January 2014",Sent to Glasgow City Council 3 minutes later
6882,Potholes and dangerously uneven road surface,"Fixed 13:24, 6 Jan 2014, last updated 16:22, 3 Feb 2014",https://www.fixmystreet.com/report/418329,"Reported in the Potholes category anonymously at 13:24, Mon  6 January 2014",Sent to Glasgow City Council 1 minute later
6883,Pothole large,"13:57, 6 Jan 2014, last updated 11:44, 9 Jan 2014",https://www.fixmystreet.com/report/418345,"Reported in the Potholes category by kenny Scott at 13:57, Mon  6 January 2014",Sent to Glasgow City Council 2 minutes later
6884,Massive pothole,"Fixed 14:46, 6 Jan 2014, last updated 17:05, 6 Jan 2014",https://www.fixmystreet.com/report/418389,"Reported in the Potholes category by Mr Quinn at 14:46, Mon  6 January 2014",Sent to Glasgow City Council 4 minutes later
6885,Potholes,"14:48, 6 Jan 2014",https://www.fixmystreet.com/report/418392,"Reported in the Potholes category by Mr Quinn at 14:48, Mon  6 January 2014",Sent to Glasgow City Council 2 minutes later
6886,Deep pothole,"Fixed 18:45, 6 Jan 2014, last updated 21:21, 3 Feb 2014",https://www.fixmystreet.com/report/418515,"Reported in the Potholes category anonymously at 18:45, Mon  6 January 2014",Sent to Glasgow City Council 4 minutes later
6887,Dangerous Potholes,"19:13, 6 Jan 2014",https://www.fixmystreet.com/report/418533,"Reported in the Potholes category by Liz Burns at 19:13, Mon  6 January 2014",Sent to Glasgow City Council 2 minutes later
6888,Potholes/uneven road surface,"19:50, 6 Jan 2014",https://www.fixmystreet.com/report/418556,"Reported in the Potholes category anonymously at 19:50, Mon  6 January 2014",Sent to Glasgow City Council less than a minute later
6889,Potholes/uneven road surface,"19:53, 6 Jan 2014, last updated 00:04, 4 Mar 2014",https://www.fixmystreet.com/report/418558,"Reported in the Potholes category anonymously at 19:53, Mon  6 January 2014",Sent to Glasgow City Council 2 minutes later
6890,Large pothole and generally poor road surface,"19:59, 6 Jan 2014",https://www.fixmystreet.com/report/418563,"Reported in the Potholes category anonymously at 19:59, Mon  6 January 2014",Sent to Glasgow City Council 1 minute later
6891,Significnat potholes,"10:56, 7 Jan 2014",https://www.fixmystreet.com/report/418797,"Reported in the Potholes category by Chris Richardson at 10:56, Tue  7 January 2014",Sent to Glasgow City Council 4 minutes later
6892,Deep pothole,"Fixed 14:29, 7 Jan 2014, last updated 22:12, 1 Apr 2014",https://www.fixmystreet.com/report/419001,"Reported in the Potholes category anonymously at 14:29, Tue  7 January 2014",Sent to Glasgow City Council 1 minute later
6893,Large pothole/manhole,"14:32, 7 Jan 2014",https://www.fixmystreet.com/report/419004,"Reported in the Potholes category anonymously at 14:32, Tue  7 January 2014",Sent to Glasgow City Council 3 minutes later
6894,Large and deep pothole,"15:40, 7 Jan 2014",https://www.fixmystreet.com/report/419036,"Reported in the Potholes category anonymously at 15:40, Tue  7 January 2014",Sent to Glasgow City Council 5 minutes later
6895,Street lights not working,"17:01, 7 Jan 2014",https://www.fixmystreet.com/report/419085,"Reported in the Street lighting category by Laura Hynes at 17:01, Tue  7 January 2014",Sent to Glasgow City Council 4 minutes later
6896,Pot holes,"17:23, 7 Jan 2014, last updated 23:31, 13 Feb 2014",https://www.fixmystreet.com/report/419096,"Reported in the Potholes category anonymously at 17:23, Tue  7 January 2014",Sent to Glasgow City Council 2 minutes later
6897,Blocked drain next to bike stand,"20:57, 7 Jan 2014, last updated 00:06, 5 Feb 2014",https://www.fixmystreet.com/report/419228,"Reported in the Roads/highways category anonymously at 20:57, Tue  7 January 2014",Sent to Glasgow City Council 3 minutes later
6898,Dog excrement on pavements around school,"Fixed 21:02, 7 Jan 2014, last updated 21:35, 2 Jul 2019",https://www.fixmystreet.com/report/419234,"Reported in the Dog fouling category anonymously at 21:02, Tue  7 January 2014",Sent to Glasgow City Council 2 minutes later
6899,Pothole,"07:50, 8 Jan 2014",https://www.fixmystreet.com/report/419356,"Reported in the Potholes category anonymously at 07:50, Wed  8 January 2014",Sent to Glasgow City Council 4 minutes later
6900,Fly Tipping,"Fixed 13:55, 8 Jan 2014, last updated 14:33, 5 Feb 2014",https://www.fixmystreet.com/report/419568,"Reported in the Flytipping category anonymously at 13:55, Wed  8 January 2014",Sent to Glasgow City Council 4 minutes later
6901,Potholes,"Fixed 14:31, 8 Jan 2014, last updated 15:42, 5 Feb 2014",https://www.fixmystreet.com/report/419582,"Reported in the Potholes category anonymously at 14:31, Wed  8 January 2014",Sent to Glasgow City Council 4 minutes later
6902,All Streetlights out,"15:37, 8 Jan 2014, last updated 16:08, 5 Feb 2014",https://www.fixmystreet.com/report/419635,"Reported in the Street lighting category by Ross McLeod at 15:37, Wed  8 January 2014",Sent to Glasgow City Council 3 minutes later
6903,Broken speed bumps,"15:40, 8 Jan 2014, last updated 16:06, 5 Feb 2014",https://www.fixmystreet.com/report/419638,"Reported in the Roads/highways category by Ross McLeod at 15:40, Wed  8 January 2014",Sent to Glasgow City Council 5 minutes later
6904,Sinking manhole cover,"11:42, 9 Jan 2014",https://www.fixmystreet.com/report/420069,"Reported in the Potholes category by Bob Thomson at 11:42, Thu  9 January 2014",Sent to Glasgow City Council 3 minutes later
6905,Dangerous potholes,"16:57, 9 Jan 2014",https://www.fixmystreet.com/report/420289,"Reported in the Potholes category anonymously at 16:57, Thu  9 January 2014",Sent to Glasgow City Council 2 minutes later
6906,Broken up road surface,"17:03, 9 Jan 2014",https://www.fixmystreet.com/report/420294,"Reported in the Roads/highways category anonymously at 17:03, Thu  9 January 2014",Sent to Glasgow City Council 2 minutes later
6907,Pot holes,"21:34, 9 Jan 2014",https://www.fixmystreet.com/report/420447,"Reported in the Potholes category anonymously at 21:34, Thu  9 January 2014",Sent to Glasgow City Council 1 minute later
6908,Pot holes,"21:37, 9 Jan 2014",https://www.fixmystreet.com/report/420449,"Reported in the Potholes category anonymously at 21:37, Thu  9 January 2014",Sent to Glasgow City Council 3 minutes later
6909,Stanks sinking in all along road,"21:40, 9 Jan 2014",https://www.fixmystreet.com/report/420451,"Reported in the Roads/highways category anonymously at 21:40, Thu  9 January 2014",Sent to Glasgow City Council 5 minutes later
6910,Lights always out,"21:41, 9 Jan 2014",https://www.fixmystreet.com/report/420452,"Reported in the Street lighting category anonymously at 21:41, Thu  9 January 2014",Sent to Glasgow City Council 4 minutes later
6911,Some lights always out,"21:43, 9 Jan 2014",https://www.fixmystreet.com/report/420455,"Reported in the Street lighting category anonymously at 21:43, Thu  9 January 2014",Sent to Glasgow City Council 2 minutes later
6912,Pot hole,"21:44, 9 Jan 2014",https://www.fixmystreet.com/report/420456,"Reported in the Potholes category anonymously at 21:44, Thu  9 January 2014",Sent to Glasgow City Council 1 minute later
6913,Poor lighting lights always out,"21:45, 9 Jan 2014",https://www.fixmystreet.com/report/420457,"Reported in the Street lighting category anonymously at 21:45, Thu  9 January 2014",Sent to Glasgow City Council 5 minutes later
6914,Pot hole uneven road,"21:48, 9 Jan 2014",https://www.fixmystreet.com/report/420460,"Reported in the Potholes category anonymously at 21:48, Thu  9 January 2014",Sent to Glasgow City Council 2 minutes later
6915,Broken manhole cover,"Fixed 08:53, 10 Jan 2014, last updated 19:48, 9 Apr 2014",https://www.fixmystreet.com/report/420532,"Reported in the Roads/highways category by margaret gillies at 08:53, Fri 10 January 2014",Sent to Glasgow City Council 2 minutes later
6916,Several potholes on Edzell street,"13:07, 10 Jan 2014, last updated 09:06, 11 Mar 2014",https://www.fixmystreet.com/report/420651,"Reported in the Potholes category by Annoyed Driver at 13:07, Fri 10 January 2014",Sent to Glasgow City Council 4 minutes later
6917,Streetlight,"14:05, 10 Jan 2014",https://www.fixmystreet.com/report/420685,"Reported in the Street lighting category by John Drummond at 14:05, Fri 10 January 2014",Sent to Glasgow City Council 5 minutes later
6918,Numerous potholes and poorly maintained roads,"00:34, 11 Jan 2014",https://www.fixmystreet.com/report/420901,"Reported in the Potholes category anonymously at 00:34, Sat 11 January 2014",Sent to Glasgow City Council 1 minute later
6919,Another large pothole,"11:59, 11 Jan 2014",https://www.fixmystreet.com/report/420998,"Reported in the Potholes category by Stuart Weatherley at 11:59, Sat 11 January 2014",Sent to Glasgow City Council 1 minute later
6920,Street Lights defective,"12:43, 11 Jan 2014",https://www.fixmystreet.com/report/421026,"Reported in the Street lighting category anonymously at 12:43, Sat 11 January 2014",Sent to Glasgow City Council 1 minute later
6921,Flytipping,"Fixed 12:48, 11 Jan 2014, last updated 20:21, 12 May 2015",https://www.fixmystreet.com/report/421030,"Reported in the Flytipping category anonymously at 12:48, Sat 11 January 2014",Sent to Glasgow City Council 2 minutes later
6922,Light out,"12:34, 12 Jan 2014",https://www.fixmystreet.com/report/421307,"Reported via iOS in the Street lighting category anonymously at 12:34, Sun 12 January 2014",Sent to Glasgow City Council less than a minute later
6923,Light out,"12:35, 12 Jan 2014",https://www.fixmystreet.com/report/421308,"Reported via iOS in the Street lighting category anonymously at 12:35, Sun 12 January 2014",Sent to Glasgow City Council 5 minutes later
6924,Grass uncut in public park,"12:35, 12 Jan 2014",https://www.fixmystreet.com/report/421313,"Reported via iOS in the Parks/landscapes category anonymously at 12:35, Sun 12 January 2014",Sent to Glasgow City Council 5 minutes later
6925,Fly tipping,"12:35, 12 Jan 2014",https://www.fixmystreet.com/report/421314,"Reported via iOS in the Flytipping category anonymously at 12:35, Sun 12 January 2014",Sent to Glasgow City Council 5 minutes later
6926,No street name sign,"12:35, 12 Jan 2014",https://www.fixmystreet.com/report/421316,"Reported via iOS in the Road traffic signs category anonymously at 12:35, Sun 12 January 2014",Sent to Glasgow City Council 5 minutes later
6927,Potholes on EDZELL STREET,"Fixed 10:43, 13 Jan 2014, last updated 11:11, 10 Feb 2014",https://www.fixmystreet.com/report/421701,"Reported in the Potholes category anonymously at 10:43, Mon 13 January 2014",Sent to Glasgow City Council 3 minutes later
6928,Lights not on,"12:09, 13 Jan 2014",https://www.fixmystreet.com/report/421761,"Reported in the Street lighting category by David Murray at 12:09, Mon 13 January 2014",Sent to Glasgow City Council less than a minute later
6929,Traffic Light Fault,"Fixed 13:49, 13 Jan 2014, last updated 17:55, 15 Jan 2014",https://www.fixmystreet.com/report/421821,"Reported in the Traffic lights category anonymously at 13:49, Mon 13 January 2014",Sent to Glasgow City Council 1 minute later
6930,Potholes at drains Springburn Road,"Fixed 14:48, 13 Jan 2014, last updated 13:37, 19 May 2014",https://www.fixmystreet.com/report/421870,"Reported in the Potholes category by David Grant at 14:48, Mon 13 January 2014",Sent to Glasgow City Council 3 minutes later
6931,Big pothole Siemens Street,"Fixed 14:51, 13 Jan 2014, last updated 13:50, 27 Feb 2014",https://www.fixmystreet.com/report/421876,"Reported in the Rubbish (refuse and recycling) category by David Grant at 14:51, Mon 13 January 2014",Sent to Glasgow City Council 4 minutes later
6932,Pothole near Anderston Church,"Fixed 14:55, 13 Jan 2014, last updated 13:49, 27 Feb 2014",https://www.fixmystreet.com/report/421884,"Reported in the Potholes category by David Grant at 14:55, Mon 13 January 2014",Sent to Glasgow City Council 6 minutes later
6933,No Street lighting,"Fixed 15:46, 13 Jan 2014, last updated 19:39, 10 Feb 2014",https://www.fixmystreet.com/report/421917,"Reported in the Street lighting category anonymously at 15:46, Mon 13 January 2014",Sent to Glasgow City Council 4 minutes later
6934,"Kerbside blocked drain, mud & flooded for at least 8 years","16:19, 13 Jan 2014, last updated 16:03, 5 Jul 2015",https://www.fixmystreet.com/report/421936,"Reported in the Roads/highways category anonymously at 16:19, Mon 13 January 2014",Sent to Glasgow City Council 1 minute later
6935,Van Parking,"16:22, 13 Jan 2014, last updated 20:28, 10 Feb 2014",https://www.fixmystreet.com/report/421940,"Reported in the Car parking category anonymously at 16:22, Mon 13 January 2014",Sent to Glasgow City Council 3 minutes later
6936,Dog fouling,"18:18, 13 Jan 2014",https://www.fixmystreet.com/report/421998,"Reported in the Dog fouling category anonymously at 18:18, Mon 13 January 2014",Sent to Glasgow City Council 2 minutes later
6937,Road badly needs repaired,"22:01, 13 Jan 2014",https://www.fixmystreet.com/report/422104,"Reported in the Potholes category anonymously at 22:01, Mon 13 January 2014",Sent to Glasgow City Council 3 minutes later
6938,Traffic lights,"01:26, 14 Jan 2014, last updated 23:14, 13 Feb 2014",https://www.fixmystreet.com/report/417393,"Reported in the Traffic lights category anonymously at 01:26, Tue 14 January 2014",Sent to Glasgow City Council 4 minutes later
6939,Fly tipping,"16:50, 14 Jan 2014, last updated 16:44, 11 Apr 2014",https://www.fixmystreet.com/report/422523,"Reported in the Flytipping category anonymously at 16:50, Tue 14 January 2014",Sent to Glasgow City Council less than a minute later
6940,Massive pothole,"Fixed 17:41, 14 Jan 2014, last updated 16:29, 12 Feb 2014",https://www.fixmystreet.com/report/422552,"Reported in the Potholes category by Andrew Kane at 17:41, Tue 14 January 2014",Sent to Glasgow City Council 4 minutes later
6941,Potholes,"18:19, 14 Jan 2014",https://www.fixmystreet.com/report/422570,"Reported in the Potholes category by Noel Woods at 18:19, Tue 14 January 2014",Sent to Glasgow City Council 1 minute later
6942,Large flooded pothole not visible,"18:32, 14 Jan 2014",https://www.fixmystreet.com/report/422582,"Reported in the Potholes category anonymously at 18:32, Tue 14 January 2014",Sent to Glasgow City Council 3 minutes later
6943,Massive pot hole,"Fixed 18:43, 14 Jan 2014, last updated 15:56, 11 Mar 2015",https://www.fixmystreet.com/report/422609,"Reported in the Potholes category anonymously at 18:43, Tue 14 January 2014",Sent to Glasgow City Council 3 minutes later
6944,Pothole and poor road surface,"21:44, 14 Jan 2014, last updated 22:35, 11 Feb 2014",https://www.fixmystreet.com/report/422709,"Reported in the Potholes category anonymously at 21:44, Tue 14 January 2014",Sent to Glasgow City Council less than a minute later
6945,Poor road surface,"21:46, 14 Jan 2014, last updated 22:35, 11 Feb 2014",https://www.fixmystreet.com/report/422712,"Reported in the Potholes category anonymously at 21:46, Tue 14 January 2014",Sent to Glasgow City Council 4 minutes later
6946,Broken and cracked pavement,"21:49, 14 Jan 2014, last updated 23:01, 11 Mar 2014",https://www.fixmystreet.com/report/422716,"Reported in the Pavements/footpaths category anonymously at 21:49, Tue 14 January 2014",Sent to Glasgow City Council less than a minute later
6947,Newly laid road surface opening up,"22:39, 14 Jan 2014, last updated 23:09, 11 Feb 2014",https://www.fixmystreet.com/report/422742,"Reported in the Roads/highways category anonymously at 22:39, Tue 14 January 2014",Sent to Glasgow City Council 1 minute later
6948,Street lights out,"23:32, 14 Jan 2014, last updated 07:16, 12 Feb 2014",https://www.fixmystreet.com/report/422750,"Reported in the Street lighting category anonymously at 23:32, Tue 14 January 2014",Sent to Glasgow City Council 3 minutes later
6949,Pavment Parking,"Fixed 09:51, 15 Jan 2014, last updated 13:42, 12 Feb 2014",https://www.fixmystreet.com/report/422855,"Reported in the Pavements/footpaths category anonymously at 09:51, Wed 15 January 2014",Sent to Glasgow City Council 3 minutes later
6950,2 lights out,"Fixed 14:51, 15 Jan 2014, last updated 14:47, 23 Jan 2014",https://www.fixmystreet.com/report/423042,"Reported in the Street lighting category anonymously at 14:51, Wed 15 January 2014",Sent to Glasgow City Council 4 minutes later
6951,Flooding on road maybe blocked drain,"14:53, 15 Jan 2014",https://www.fixmystreet.com/report/423046,"Reported anonymously at 14:53, Wed 15 January 2014",Sent to Glasgow City Council 3 minutes later
6952,Large pothole on A736 North bound,"18:27, 16 Jan 2014, last updated 20:04, 16 Jan 2014",https://www.fixmystreet.com/report/423628,"Reported in the Potholes category anonymously at 18:27, Thu 16 January 2014",Sent to Glasgow City Council 3 minutes later
6953,Flooding,"20:37, 16 Jan 2014",https://www.fixmystreet.com/report/423696,"Reported anonymously at 20:37, Thu 16 January 2014",Sent to Glasgow City Council 2 minutes later
6954,Litter and rotting leaves,"Fixed 20:41, 16 Jan 2014, last updated 16:06, 14 Mar 2014",https://www.fixmystreet.com/report/423698,"Reported in the Street lighting category anonymously at 20:41, Thu 16 January 2014",Sent to Glasgow City Council 3 minutes later
6955,Litter and rotting leaves,"Fixed 20:46, 16 Jan 2014, last updated 18:46, 13 Feb 2014",https://www.fixmystreet.com/report/423703,"Reported in the Street cleaning category anonymously at 20:46, Thu 16 January 2014",Sent to Glasgow City Council 4 minutes later
6956,Dumped fridges,"Fixed 20:48, 16 Jan 2014, last updated 18:27, 13 Feb 2014",https://www.fixmystreet.com/report/423705,"Reported in the Flytipping category anonymously at 20:48, Thu 16 January 2014",Sent to Glasgow City Council 2 minutes later
6957,Flooding,"Fixed 20:50, 16 Jan 2014, last updated 16:04, 14 Mar 2014",https://www.fixmystreet.com/report/423709,"Reported anonymously at 20:50, Thu 16 January 2014",Sent to Glasgow City Council 5 minutes later
6958,Very severe flooding,"Fixed 20:52, 16 Jan 2014, last updated 16:03, 14 Mar 2014",https://www.fixmystreet.com/report/423711,"Reported anonymously at 20:52, Thu 16 January 2014",Sent to Glasgow City Council 4 minutes later
6959,Retailer's rubbish,"21:01, 16 Jan 2014",https://www.fixmystreet.com/report/423722,"Reported in the Rubbish (refuse and recycling) category anonymously at 21:01, Thu 16 January 2014",Sent to Glasgow City Council 4 minutes later
6960,Potholes,"21:06, 16 Jan 2014",https://www.fixmystreet.com/report/423725,"Reported in the Potholes category anonymously at 21:06, Thu 16 January 2014",Sent to Glasgow City Council 3 minutes later
6961,Pothole at stank,"Fixed 21:09, 16 Jan 2014, last updated 16:02, 14 Mar 2014",https://www.fixmystreet.com/report/423729,"Reported in the Potholes category anonymously at 21:09, Thu 16 January 2014",Sent to Glasgow City Council 2 minutes later
6962,Potholed and rutted road,"21:12, 16 Jan 2014",https://www.fixmystreet.com/report/423732,"Reported in the Potholes category anonymously at 21:12, Thu 16 January 2014",Sent to Glasgow City Council 2 minutes later
6963,Missing traffic divider/ bollard- danger of accident,"21:19, 16 Jan 2014",https://www.fixmystreet.com/report/423733,"Reported in the Roads/highways category anonymously at 21:19, Thu 16 January 2014",Sent to Glasgow City Council 1 minute later
6964,Pothole Central,"08:16, 17 Jan 2014",https://www.fixmystreet.com/report/423921,"Reported in the Potholes category anonymously at 08:16, Fri 17 January 2014",Sent to Glasgow City Council 4 minutes later
6965,Pot holes,"10:37, 17 Jan 2014",https://www.fixmystreet.com/report/424001,"Reported in the Potholes category by Ruth E at 10:37, Fri 17 January 2014",Sent to Glasgow City Council 2 minutes later
6966,Section of road in serious disrepair,"10:44, 17 Jan 2014",https://www.fixmystreet.com/report/424005,"Reported in the Roads/highways category anonymously at 10:44, Fri 17 January 2014",Sent to Glasgow City Council 1 minute later
6967,Bulk Rubbish Left for 2 days,"Fixed 13:10, 17 Jan 2014, last updated 15:55, 11 Mar 2015",https://www.fixmystreet.com/report/424087,"Reported in the Rubbish (refuse and recycling) category anonymously at 13:10, Fri 17 January 2014",Sent to Glasgow City Council 6 minutes later
6968,Pothole,"Fixed 20:03, 17 Jan 2014, last updated 21:17, 14 Feb 2014",https://www.fixmystreet.com/report/424358,"Reported in the Potholes category by steven whitten at 20:03, Fri 17 January 2014",Sent to Glasgow City Council 1 minute later
6969,Pothole,"Fixed 20:08, 17 Jan 2014, last updated 15:36, 24 Feb 2014",https://www.fixmystreet.com/report/424360,"Reported in the Potholes category by steven whitten at 20:08, Fri 17 January 2014",Sent to Glasgow City Council 2 minutes later
6970,Pothole,"20:14, 17 Jan 2014, last updated 21:14, 14 Feb 2014",https://www.fixmystreet.com/report/424362,"Reported in the Potholes category by steven whitten at 20:14, Fri 17 January 2014",Sent to Glasgow City Council 1 minute later
6971,Potholes,"Fixed 20:16, 17 Jan 2014, last updated 21:15, 14 Feb 2014",https://www.fixmystreet.com/report/424364,"Reported in the Potholes category by steven whitten at 20:16, Fri 17 January 2014",Sent to Glasgow City Council 4 minutes later
6972,Pothole,"Fixed 20:18, 17 Jan 2014, last updated 21:16, 14 Feb 2014",https://www.fixmystreet.com/report/424365,"Reported in the Potholes category by steven whitten at 20:18, Fri 17 January 2014",Sent to Glasgow City Council 2 minutes later
6973,Pothole,"Fixed 21:25, 17 Jan 2014, last updated 12:18, 15 Feb 2014",https://www.fixmystreet.com/report/424385,"Reported in the Potholes category anonymously at 21:25, Fri 17 January 2014",Sent to Glasgow City Council 5 minutes later
6974,Loose manhole cover,"Fixed 10:08, 18 Jan 2014, last updated 15:15, 9 Dec 2016",https://www.fixmystreet.com/report/424488,"Reported in the Potholes category by Donna McGunnagle at 10:08, Sat 18 January 2014",Sent to Glasgow City Council 2 minutes later
6975,Bulk Rubbish still left blocking pavements,"Fixed 13:54, 18 Jan 2014, last updated 15:58, 11 Mar 2015",https://www.fixmystreet.com/report/424573,"Reported in the Rubbish (refuse and recycling) category anonymously at 13:54, Sat 18 January 2014",Sent to Glasgow City Council 1 minute later
6976,"Potholes, Maryhill Rd","17:29, 18 Jan 2014",https://www.fixmystreet.com/report/424696,"Reported in the Potholes category anonymously at 17:29, Sat 18 January 2014",Sent to Glasgow City Council 1 minute later
6977,Pot holes,"00:22, 19 Jan 2014",https://www.fixmystreet.com/report/424809,"Reported in the Potholes category anonymously at 00:22, Sun 19 January 2014",Sent to Glasgow City Council 2 minutes later
6978,Large pot hole,"00:24, 19 Jan 2014",https://www.fixmystreet.com/report/424810,"Reported in the Potholes category anonymously at 00:24, Sun 19 January 2014",Sent to Glasgow City Council 1 minute later
6979,Pot hole,"00:26, 19 Jan 2014",https://www.fixmystreet.com/report/424811,"Reported in the Potholes category anonymously at 00:26, Sun 19 January 2014",Sent to Glasgow City Council 4 minutes later
6980,Rubbish all over the street,"10:24, 19 Jan 2014, last updated 10:26, 19 Jan 2014",https://www.fixmystreet.com/report/424868,"Reported in the Rubbish (refuse and recycling) category anonymously at 10:24, Sun 19 January 2014",Sent to Glasgow City Council 1 minute later
6981,Pothole,"Fixed 20:18, 20 Jan 2014, last updated 20:05, 24 Jan 2014",https://www.fixmystreet.com/report/425766,"Reported via iOS in the Potholes category anonymously at 20:18, Mon 20 January 2014",Sent to Glasgow City Council 1 minute later
6982,Overflowing Bin,"Fixed 20:43, 20 Jan 2014, last updated 00:55, 18 Feb 2014",https://www.fixmystreet.com/report/425781,"Reported in the Rubbish (refuse and recycling) category by Jennifer Dawson at 20:43, Mon 20 January 2014",Sent to Glasgow City Council 2 minutes later
6983,Traffic light phasing - motorway congestion,"11:00, 21 Jan 2014, last updated 17:13, 24 Jan 2014",https://www.fixmystreet.com/report/425962,"Reported in the Traffic lights category by Mark Colman at 11:00, Tue 21 January 2014",Sent to Glasgow City Council 5 minutes later
6984,Shoddy pavement repair,"12:24, 21 Jan 2014, last updated 20:59, 18 Mar 2014",https://www.fixmystreet.com/report/426013,"Reported in the Pavements/footpaths category anonymously at 12:24, Tue 21 January 2014",Sent to Glasgow City Council 1 minute later
6985,Lights out all night,"15:49, 21 Jan 2014",https://www.fixmystreet.com/report/426155,"Reported in the Street lighting category by Ian Barr at 15:49, Tue 21 January 2014",Sent to Glasgow City Council 1 minute later
6986,Pothole,"15:50, 22 Jan 2014",https://www.fixmystreet.com/report/426641,"Reported in the Potholes category by Christine Crawford at 15:50, Wed 22 January 2014",Sent to Glasgow City Council 5 minutes later
6987,Another large pothole opening up,"18:08, 23 Jan 2014",https://www.fixmystreet.com/report/427182,"Reported in the Potholes category by Stuart Weatherley at 18:08, Thu 23 January 2014",Sent to Glasgow City Council 2 minutes later
6988,Blocked Drain,"Fixed 21:53, 23 Jan 2014, last updated 22:52, 22 Feb 2014",https://www.fixmystreet.com/report/427274,"Reported anonymously at 21:53, Thu 23 January 2014",Sent to Glasgow City Council 2 minutes later
6989,Street light half failed,"Fixed 21:57, 23 Jan 2014, last updated 15:32, 28 Mar 2014",https://www.fixmystreet.com/report/427275,"Reported in the Street lighting category anonymously at 21:57, Thu 23 January 2014",Sent to Glasgow City Council 3 minutes later
6990,Pothole,"10:15, 24 Jan 2014",https://www.fixmystreet.com/report/427378,"Reported in the Potholes category by Mr A Graham at 10:15, Fri 24 January 2014",Sent to Glasgow City Council 4 minutes later
6991,Giant Pothole,"10:18, 24 Jan 2014",https://www.fixmystreet.com/report/427380,"Reported in the Potholes category by Mr A Graham at 10:18, Fri 24 January 2014",Sent to Glasgow City Council 2 minutes later
6992,Potholes,"10:20, 24 Jan 2014",https://www.fixmystreet.com/report/427382,"Reported in the Potholes category by Mr A Graham at 10:20, Fri 24 January 2014",Sent to Glasgow City Council 5 minutes later
6993,Tyrebursters,"15:22, 24 Jan 2014, last updated 21:43, 18 Apr 2014",https://www.fixmystreet.com/report/427545,"Reported in the Potholes category anonymously at 15:22, Fri 24 January 2014",Sent to Glasgow City Council 3 minutes later
6994,Speed bumps/tarmac breaking up,"15:33, 24 Jan 2014, last updated 23:38, 11 Jul 2014",https://www.fixmystreet.com/report/427550,"Reported in the Roads/highways category anonymously at 15:33, Fri 24 January 2014",Sent to Glasgow City Council 1 minute later
6995,Litter,"15:55, 24 Jan 2014",https://www.fixmystreet.com/report/427561,"Reported in the Street cleaning category by Steven whitten at 15:55, Fri 24 January 2014",Sent to Glasgow City Council 5 minutes later
6996,No regular street cleaning.,"Fixed 15:59, 24 Jan 2014, last updated 16:53, 26 Jan 2014",https://www.fixmystreet.com/report/427564,"Reported in the Street cleaning category by Peter Macaulay at 15:59, Fri 24 January 2014",Sent to Glasgow City Council 1 minute later
